F95BA Connecting to RETS api
F95BA Downloading photos
 F95BA   61/8916 Listing ID A2044027  , 05 photos. skipping #1.
 F95BA   61/8916 Listing ID A2044027  , 05 photos. skipping #2.
 F95BA   61/8916 Listing ID A2044027  , 05 photos. skipping #3.
 F95BA   61/8916 Listing ID A2044027  , 05 photos. skipping #4.
 F95BA   62/8916 Listing ID A2044023  , 05 photos. skipping #1.
 F95BA   62/8916 Listing ID A2044023  , 05 photos. skipping #2.
 F95BA   62/8916 Listing ID A2044023  , 05 photos. skipping #3.
 F95BA   62/8916 Listing ID A2044023  , 05 photos. skipping #4.
 F95BA   63/8916 Listing ID A2044019  , 02 photos. skipping #1.
 F95BA   63/8916 Listing ID A2044019  , 02 photos. skipping #2.
 F95BA   64/8916 Listing ID A2044419  , 09 photos. skipping #1.
 F95BA   64/8916 Listing ID A2044419  , 09 photos. skipping #2.
 F95BA   64/8916 Listing ID A2044419  , 09 photos. skipping #3.
 F95BA   64/8916 Listing ID A2044419  , 09 photos. skipping #4.
 F95BA   65/8916 Listing ID A2045699  , 02 photos. skipping #1.
 F95BA   65/8916 Listing ID A2045699  , 02 photos. skipping #2.
 F95BA   66/8916 Listing ID A2045707  , 02 photos. skipping #1.
 F95BA   66/8916 Listing ID A2045707  , 02 photos. skipping #2.
 F95BA   67/8916 Listing ID A2045724  , 06 photos. skipping #1.
 F95BA   67/8916 Listing ID A2045724  , 06 photos. skipping #2.
 F95BA   67/8916 Listing ID A2045724  , 06 photos. skipping #3.
 F95BA   67/8916 Listing ID A2045724  , 06 photos. skipping #4.
 F95BA   68/8916 Listing ID A2045753  , 02 photos. skipping #1.
 F95BA   68/8916 Listing ID A2045753  , 02 photos. skipping #2.
 F95BA   69/8916 Listing ID A2045763  , 03 photos. skipping #1.
 F95BA   69/8916 Listing ID A2045763  , 03 photos. skipping #2.
 F95BA   69/8916 Listing ID A2045763  , 03 photos. skipping #3.
 F95BA   70/8916 Listing ID A2045771  , 06 photos. skipping #1.
 F95BA   70/8916 Listing ID A2045771  , 06 photos. skipping #2.
 F95BA   70/8916 Listing ID A2045771  , 06 photos. skipping #3.
 F95BA   70/8916 Listing ID A2045771  , 06 photos. skipping #4.
 F95BA   71/8916 Listing ID A2045782  , 07 photos. skipping #1.
 F95BA   71/8916 Listing ID A2045782  , 07 photos. skipping #2.
 F95BA   71/8916 Listing ID A2045782  , 07 photos. skipping #3.
 F95BA   71/8916 Listing ID A2045782  , 07 photos. skipping #4.
 F95BA   72/8916 Listing ID A2047173  , 04 photos. skipping #1.
 F95BA   72/8916 Listing ID A2047173  , 04 photos. skipping #2.
 F95BA   72/8916 Listing ID A2047173  , 04 photos. skipping #3.
 F95BA   72/8916 Listing ID A2047173  , 04 photos. skipping #4.
 F95BA   73/8916 Listing ID A2139045  , 02 photos. skipping #1.
 F95BA   73/8916 Listing ID A2139045  , 02 photos. skipping #2.
 F95BA   74/8916 Listing ID A2047282  , 02 photos. skipping #1.
 F95BA   74/8916 Listing ID A2047282  , 02 photos. skipping #2.
 F95BA   75/8916 Listing ID A2047319  , 09 photos. skipping #1.
 F95BA   75/8916 Listing ID A2047319  , 09 photos. skipping #2.
 F95BA   75/8916 Listing ID A2047319  , 09 photos. skipping #3.
 F95BA   75/8916 Listing ID A2047319  , 09 photos. skipping #4.
 F95BA   76/8916 Listing ID A2049861  , 02 photos. skipping #1.
 F95BA   76/8916 Listing ID A2049861  , 02 photos. skipping #2.
 F95BA   77/8916 Listing ID A2049917  , 06 photos. skipping #1.
 F95BA   77/8916 Listing ID A2049917  , 06 photos. skipping #2.
 F95BA   77/8916 Listing ID A2049917  , 06 photos. skipping #3.
 F95BA   77/8916 Listing ID A2049917  , 06 photos. skipping #4.
 F95BA   78/8916 Listing ID A2049954  , 03 photos. skipping #1.
 F95BA   78/8916 Listing ID A2049954  , 03 photos. skipping #2.
 F95BA   78/8916 Listing ID A2049954  , 03 photos. skipping #3.
 F95BA   79/8916 Listing ID A2050304  , 02 photos. skipping #1.
 F95BA   79/8916 Listing ID A2050304  , 02 photos. skipping #2.
 F95BA   80/8916 Listing ID A2050601  , 10 photos. skipping #1.
 F95BA   80/8916 Listing ID A2050601  , 10 photos. skipping #2.
 F95BA   80/8916 Listing ID A2050601  , 10 photos. skipping #3.
 F95BA   80/8916 Listing ID A2050601  , 10 photos. skipping #4.
 F95BA   81/8916 Listing ID A2050854  , 05 photos. skipping #1.
 F95BA   81/8916 Listing ID A2050854  , 05 photos. skipping #2.
 F95BA   81/8916 Listing ID A2050854  , 05 photos. skipping #3.
 F95BA   81/8916 Listing ID A2050854  , 05 photos. skipping #4.
 F95BA   82/8916 Listing ID A2052772  , 25 photos. skipping #1.
 F95BA   82/8916 Listing ID A2052772  , 25 photos. skipping #2.
 F95BA   82/8916 Listing ID A2052772  , 25 photos. skipping #3.
 F95BA   82/8916 Listing ID A2052772  , 25 photos. skipping #4.
 F95BA   83/8916 Listing ID A2053763  , 11 photos. skipping #1.
 F95BA   83/8916 Listing ID A2053763  , 11 photos. skipping #2.
 F95BA   83/8916 Listing ID A2053763  , 11 photos. skipping #3.
 F95BA   83/8916 Listing ID A2053763  , 11 photos. skipping #4.
 F95BA   84/8916 Listing ID A2063202  , 13 photos. skipping #1.
 F95BA   84/8916 Listing ID A2063202  , 13 photos. skipping #2.
 F95BA   84/8916 Listing ID A2063202  , 13 photos. skipping #3.
 F95BA   84/8916 Listing ID A2063202  , 13 photos. skipping #4.
 F95BA   85/8916 Listing ID A2063298  , 10 photos. skipping #1.
 F95BA   85/8916 Listing ID A2063298  , 10 photos. skipping #2.
 F95BA   85/8916 Listing ID A2063298  , 10 photos. skipping #3.
 F95BA   85/8916 Listing ID A2063298  , 10 photos. skipping #4.
 F95BA   86/8916 Listing ID A2064519  , 02 photos. skipping #1.
 F95BA   86/8916 Listing ID A2064519  , 02 photos. skipping #2.
 F95BA   87/8916 Listing ID A2064542  , 05 photos. skipping #1.
 F95BA   87/8916 Listing ID A2064542  , 05 photos. skipping #2.
 F95BA   87/8916 Listing ID A2064542  , 05 photos. skipping #3.
 F95BA   87/8916 Listing ID A2064542  , 05 photos. skipping #4.
 F95BA   88/8916 Listing ID A2064587  , 02 photos. skipping #1.
 F95BA   88/8916 Listing ID A2064587  , 02 photos. skipping #2.
 F95BA   89/8916 Listing ID A2064572  , 04 photos. skipping #1.
 F95BA   89/8916 Listing ID A2064572  , 04 photos. skipping #2.
 F95BA   89/8916 Listing ID A2064572  , 04 photos. skipping #3.
 F95BA   89/8916 Listing ID A2064572  , 04 photos. skipping #4.
 F95BA   90/8916 Listing ID A2064991  , 02 photos. skipping #1.
 F95BA   90/8916 Listing ID A2064991  , 02 photos. skipping #2.
 F95BA   91/8916 Listing ID A2065167  , 02 photos. skipping #1.
 F95BA   91/8916 Listing ID A2065167  , 02 photos. skipping #2.
 F95BA   92/8916 Listing ID A2069800  , 08 photos. skipping #1.
 F95BA   92/8916 Listing ID A2069800  , 08 photos. skipping #2.
 F95BA   92/8916 Listing ID A2069800  , 08 photos. skipping #3.
 F95BA   92/8916 Listing ID A2069800  , 08 photos. skipping #4.
 F95BA   93/8916 Listing ID A2066645  , 05 photos. skipping #1.
 F95BA   93/8916 Listing ID A2066645  , 05 photos. skipping #2.
 F95BA   93/8916 Listing ID A2066645  , 05 photos. skipping #3.
